<PDFTerm: s-3-1-2-0, #pdf_words: 1, pdf_words: [<PDFWord: micro-clustering, word_id: w-3-1-2-11>]>
<PDFTerm: s-3-1-0-2, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-3-1-0-74>]>
<PDFTerm: s-4-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-4-1-1-47>]>
<PDFTerm: s-4-1-4-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-4-1-4-44>]>
<PDFTerm: s-4-1-4-3, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-4-1-4-105>]>
<PDFTerm: s-6-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-6-1-0-21>]>
<PDFTerm: s-6-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-6-1-0-31>]>
<PDFTerm: s-6-3-0-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-6-3-0-5>]>
<PDFTerm: s-6-9-0-2, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-6-9-0-85>]>
<PDFTerm: s-8-20-1-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-8-29-0-8>]>
<PDFTerm: s-8-29-2-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-8-29-2-18>]>
<PDFTerm: s-9-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-9-1-1-25>]>
<PDFTerm: s-9-1-2-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-9-1-2-12>]>
<PDFTerm: s-9-1-2-3, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-9-1-3-34>]>
<PDFTerm: s-9-1-2-6, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-9-1-3-93>]>
<PDFTerm: s-11-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-11-1-1-43>]>
<PDFTerm: s-11-1-1-2, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-11-1-1-67>]>
<PDFTerm: s-12-3-1-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-12-3-1-18>]>
<PDFTerm: s-12-3-1-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-12-3-1-59>]>
<PDFTerm: s-12-3-1-2, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-12-3-1-117>]>
<PDFTerm: s-13-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-13-1-0-25>]>
<PDFTerm: s-13-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-13-1-1-5>]>
<PDFTerm: s-13-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-13-1-1-18>]>
<PDFTerm: s-13-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-13-1-1-27>]>
<PDFTerm: s-13-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-13-1-1-40>]>
<PDFTerm: s-13-1-1-2, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-13-1-1-66>]>
<PDFTerm: s-14-1-2-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-14-1-2-10>]>
<PDFTerm: s-14-1-2-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-14-1-3-1>]>
<PDFTerm: s-14-1-2-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-14-1-3-18>]>
<PDFTerm: s-14-1-2-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-14-1-3-29>]>
<PDFTerm: s-15-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-15-1-0-15>]>
<PDFTerm: s-15-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-15-1-1-21>]>
<PDFTerm: s-15-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-15-1-1-49>]>
<PDFTerm: s-15-1-2-2, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-15-1-2-52>]>
<PDFTerm: s-15-1-2-3, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-15-1-2-103>]>
<PDFTerm: s-15-1-3-0, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-15-1-3-37>]>
<PDFTerm: s-16-1-1-2, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-16-1-1-15>]>
<PDFTerm: s-16-1-5-2, #pdf_words: 1, pdf_words: [<PDFWord: documents, word_id: w-16-1-5-9>]>
<PDFTerm: s-2-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-2-1-0-6>]>
<PDFTerm: s-2-1-0-2, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-2-1-0-55>]>
<PDFTerm: s-4-1-3-0, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-4-1-3-3>]>
<PDFTerm: s-4-1-4-1, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-4-1-4-33>]>
<PDFTerm: s-4-3-1-0, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-4-3-1-15>]>
<PDFTerm: s-4-3-1-1, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-4-3-1-35>]>
<PDFTerm: s-4-3-1-1, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-4-3-2-2>]>
<PDFTerm: s-5-0-0-0, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-5-0-0-2>]>
<PDFTerm: s-8-29-1-1, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-8-29-1-17>]>
<PDFTerm: s-12-0-0-0, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-12-0-0-3>]>
<PDFTerm: s-12-4-0-0, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-12-4-0-5>]>
<PDFTerm: s-14-4-1-1, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-14-4-1-30>]>
<PDFTerm: s-15-1-3-1, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-15-1-3-70>]>
<PDFTerm: s-16-1-1-2, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-16-1-1-10>]>
<PDFTerm: s-16-1-4-2, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-16-1-4-22>]>
<PDFTerm: s-16-1-10-2, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-16-1-10-11>]>
<PDFTerm: s-16-1-11-2, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-16-1-11-19>]>
<PDFTerm: s-16-1-12-2, #pdf_words: 1, pdf_words: [<PDFWord: clustering, word_id: w-16-1-12-12>]>
<PDFTerm: s-13-1-1-3, #pdf_words: 1, pdf_words: [<PDFWord: svm, word_id: w-13-1-2-17>]>
<PDFTerm: s-13-1-3-2, #pdf_words: 1, pdf_words: [<PDFWord: svm, word_id: w-13-1-3-92>]>
<PDFTerm: s-14-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: svm, word_id: w-14-1-1-54>]>
<PDFTerm: s-3-1-2-0, #pdf_words: 1, pdf_words: [<PDFWord: probabilistic, word_id: w-3-1-2-18>]>
<PDFTerm: s-7-0-0-0, #pdf_words: 1, pdf_words: [<PDFWord: probabilistic, word_id: w-7-0-0-3>]>
<PDFTerm: s-7-1-0-1, #pdf_words: 1, pdf_words: [<PDFWord: probabilistic, word_id: w-7-1-0-19>]>
<PDFTerm: s-7-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: probabilistic, word_id: w-7-1-1-20>]>
<PDFTerm: s-8-29-1-0, #pdf_words: 1, pdf_words: [<PDFWord: probabilistic, word_id: w-8-29-1-5>]>
<PDFTerm: s-8-29-1-2, #pdf_words: 1, pdf_words: [<PDFWord: probabilistic, word_id: w-8-29-1-43>]>
<PDFTerm: s-15-1-3-0, #pdf_words: 1, pdf_words: [<PDFWord: probabilistic, word_id: w-15-1-3-9>]>
<PDFTerm: s-11-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: part-of-speech, word_id: w-11-1-1-34>]>
<PDFTerm: s-2-1-0-1, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-2-1-0-25>]>
<PDFTerm: s-3-1-0-1, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-3-1-0-48>]>
<PDFTerm: s-4-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-4-1-1-49>]>
<PDFTerm: s-6-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-6-1-0-62>]>
<PDFTerm: s-6-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-6-1-0-79>]>
<PDFTerm: s-6-3-0-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-6-3-0-3>]>
<PDFTerm: s-6-9-0-2, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-6-9-0-83>]>
<PDFTerm: s-7-3-0-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-7-3-0-9>]>
<PDFTerm: s-8-20-1-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-8-29-0-6>]>
<PDFTerm: s-8-29-2-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-8-29-2-16>]>
<PDFTerm: s-9-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-9-1-1-32>]>
<PDFTerm: s-9-1-2-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-9-1-2-10>]>
<PDFTerm: s-9-1-2-3, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-9-1-3-32>]>
<PDFTerm: s-9-1-2-6, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-9-1-3-91>]>
<PDFTerm: s-9-1-4-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-9-1-4-21>]>
<PDFTerm: s-9-1-4-1, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-9-1-4-51>]>
<PDFTerm: s-11-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-11-1-1-45>]>
<PDFTerm: s-11-1-1-2, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-11-1-1-57>]>
<PDFTerm: s-12-3-1-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-12-3-1-32>]>
<PDFTerm: s-14-4-1-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-14-4-1-14>]>
<PDFTerm: s-14-4-3-1, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-14-4-3-35>]>
<PDFTerm: s-15-1-0-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-15-1-0-18>]>
<PDFTerm: s-15-1-1-1, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-15-1-1-34>]>
<PDFTerm: s-15-1-2-0, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-15-1-2-11>]>
<PDFTerm: s-15-1-2-2, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-15-1-2-54>]>
<PDFTerm: s-15-1-2-3, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-15-1-2-67>]>
<PDFTerm: s-16-1-1-2, #pdf_words: 1, pdf_words: [<PDFWord: terms, word_id: w-16-1-1-13>]>
<PDFTerm: s-4-1-1-0, #pdf_words: 1, pdf_words: [<PDFWord: lsi, word_id: w-4-1-1-15>]>
<PDFTerm: s-3-1-2-1, #pdf_words: 1, pdf_words: [<PDFWord: primarily, word_id: w-3-4-0-11>]>
<PDFTerm: s-6-3-0-2, #pdf_words: 1, pdf_words: [<PDFWord: primarily, word_id: w-6-3-0-70>]>
<PDFTerm: s-3-1-1-0, #pdf_words: 2, pdf_words: [<PDFWord: local, word_id: w-3-1-1-27>, <PDFWord: redundancy, word_id: w-3-1-1-28>]>
