timestamp,type,word_text,entity_text,relevant,facet,word_id,pdf_term_id,entity_id,paper_id,page_number,user_id,_id
'2018-03-05T11:07:30','occurrence','bm25','bm25','irrelevant','dataset','w-1-0-8-292','4373774912','4370963032','conf_trec_BalogSV10','5','user_2','319229e4-6798-4e91-9123-8c686572a632'
'2018-03-05T11:07:34','occurrence','purdue','purdue','irrelevant','dataset','w-1-0-8-338','4376549248','4370961520','conf_trec_BalogSV10','5','user_2','41fa1c48-8bd4-4f0f-8e90-3675a260458c'
'2018-03-05T11:07:50','occurrence','freebase','freebase','irrelevant','method','w-1-0-8-602','4574561112','4571726624','conf_trec_BalogSV10','5','user_2','9202064b-8a23-4de2-9eb7-2524b8a7332a'
'2018-03-05T11:07:59','occurrence','uamsterdam','uamsterdam','irrelevant','method','w-1-0-8-653','4574538888','4571726176','conf_trec_BalogSV10','5','user_2','9e3f2111-45af-48ca-a800-0bbf3c5c4395'
'2018-03-05T11:08:00','occurrence','uamsterdam','uamsterdam','irrelevant','dataset','w-1-0-8-653','4376551264','4370962696','conf_trec_BalogSV10','5','user_2','ed612d5e-b0c9-44a8-bda6-c0db147ded12'
'2018-03-05T11:08:07','occurrence','uwaterlooeng','uwaterlooeng','irrelevant','dataset','w-1-0-9-72','4373775584','4370963312','conf_trec_BalogSV10','6','user_2','3add0a2b-ad12-42c4-9648-556a217b9fb2'
'2018-03-05T11:08:24','occurrence','realnames','realnames','relevant','method','w-1-0-9-517','4574561560','4571726680','conf_trec_BalogSV10','6','user_2','4dd6a0b4-83f8-42fc-8ae1-e74ddc66f6e7'
'2018-03-05T11:08:43','occurrence','dbpedia','dbpedia','irrelevant','method','w-1-0-9-660','4574608520','4569018888','conf_trec_BalogSV10','6','user_2','b419d07e-b21b-44bf-924f-5d728604ffb0'
'2018-03-05T11:08:49','occurrence','dbpedia','dbpedia','relevant','dataset','w-1-0-9-660','4376548296','4370993224','conf_trec_BalogSV10','6','user_2','5214f74f-d4a7-4ec5-9b12-7fe177ee877b'
'2018-03-05T11:09:04','occurrence','uiuc','uiuc','relevant','method','w-1-0-10-74','4574539336','4571726344','conf_trec_BalogSV10','7','user_2','ee04af72-1638-42b6-b1ea-bd1a0aaaf072'
'2018-03-05T11:09:11','occurrence','lbj-based','lbj-based','irrelevant','dataset','w-1-0-10-82','4376550144','4370962472','conf_trec_BalogSV10','7','user_2','9f092a7d-7f8a-425c-b8ed-aecdaec52deb'
'2018-03-05T11:09:20','occurrence','billion','billion triple challenge','irrelevant','method','w-1-0-10-220','4574587592','4571727520','conf_trec_BalogSV10','7','user_2','9c385b28-f443-4230-8749-149e21a25366'
'2018-03-05T11:09:23','occurrence','billion','billion triple challenge','relevant','dataset','w-1-0-10-220','4376549920','4371011344','conf_trec_BalogSV10','7','user_2','402f13e1-e7fe-4f00-987e-670c72052dff'
'2018-03-05T11:09:34','occurrence','graph','semantic web graph','relevant','method','w-1-0-10-259','4574561784','4571726736','conf_trec_BalogSV10','7','user_2','692f5a41-e8d4-4299-b260-d188b65b1346'
